2040,2026-08-21 08:54:49.823,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=41
2039,2026-08-21 08:54:49.743,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2038,2026-08-21 08:54:49.713,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2037,2026-08-21 08:54:49.683,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=109
2036,2026-08-21 08:54:49.557,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2035,2026-08-21 08:54:49.527,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2034,2026-08-21 08:54:49.493,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=208
2033,2026-08-21 08:54:49.417,escribirTabla_resultado,"totalColumnasEscritas=26 rutaUsada=solo-configurado headers=[No. Empleado, Paterno, Materno, Primer Nombre, Parentesco, Segundo Nombre, Sexo, Edad, EMFechaIngresoEmpresa, Fecha de Nacimiento, Cobertura, RFC, PrimaNeta, Costo, EMOFICINA, Oficina, Perfil, Calle, Num Ext, Num Int, Colonia, Del o Municipio, Estado, CP, Folio, id]"
2032,2026-08-21 08:54:49.370,escribirTabla_matchColumnas,EMNumeroEmpleado=OK->EMNumeroEmpleado | EMApellidoPaterno=OK->EMApellidoPaterno | EMApellidoMaterno=OK->EMApellidoMaterno | EMNombre1=OK->EMNombre1 | PADescripcion=OK->PADescripcion | EMNombre2=OK->EMNombre2 | SEDescripcion=OK->SEDescripcion | EMEdad=OK->EMEdad | EMFechaIngresoEmpresa=OK->EMFechaIngresoEmpresa | EMFechaNacimiento=OK->EMFechaNacimiento | PONombre=OK->PONombre | RFC=OK->RFC | PrimaNeta=OK->PrimaNeta | Costo=OK->Costo | EMOFicina=OK->EMOficina | Oficina=OK->Oficina | Perfil=OK->Perfil | Calle=OK->Calle | NumExt=OK->NumExt | NumInt=OK->NumInt | Colonia=OK->Colonia | Del_Municipio=OK->Del_Municipio | EstadoFiscal=OK->EstadoFiscal | CP=OK->CP | Folio=OK->Folio | Id=OK->Id
2031,2026-08-21 08:54:49.353,escribirTabla_inicio,grupo=Opcionales columnasConfig=26 preservarDinamicas=false columnaGrupo=NombrePestana agrupar=true filasEnHoja=81
